Function,Usage,Description,Example,Requirement,Category,Specific Category
AD,TALIB(AD),Accumulation Distribution,TALIB(AD),3,Indicator,Market Strength Indicators
ADOSC,"TALIB(ADOSC, FAST_PERIOD, SLOW_PERIOD)",Accumulation Distribution Oscillator,"TALIB(ADOSC, 3, 10)",2,Indicator,Momentum Indicators
ADX,"TALIB(ADX, PERIOD)",Directional Movement - Average Index,"TALIB(ADX, 14)",5,Indicator,Trend Indicators
ADXR,"TALIB(ADXR, PERIOD)",Directional Movement - Average Index Rating,"TALIB(ADXR, 14)",5,Indicator,Trend Indicators
APO,"TALIB(APO, INPUT_ARRAY, FAST_PERIOD, SLOW_PERIOD)",Price Oscillator - Absolute,"TALIB(APO, Close, 12, 26)",1,Indicator,Momentum Indicators
AROON,"TALIB(AROON, PERIOD)",Aroon,"TALIB(AROON, 14)",1,Indicator,
AROONOSC ,"TALIB(AROONOSC, PERIOD)",Aroon Oscillator,"TALIB(AROONOSC, 14)",1,Indicator,
ATR ,"TALIB(ATR, PERIOD)",Average True Range,"TALIB(ATR, 14)",2,Indicator,Volatility Indicators
AVGPRICE ,TALIB(AVGPRICE),Average Price,TALIB(AVGPRICE),5,Indicator,Price Adjustment
BBANDS ,"TALIB(BBANDS, INPUT_ARRAY, PERIOD, DEVIATIONS_UP, DEVIATIONS_DOWN, PLOT#)",Bollinger Bands. PLOT# is an integer that specifies 1 of 3 plots available. Plot #1 is the upper band. Plot #2 is the middle band. Plot #3 is the lower band.,"TALIB(BBANDS, Close, 5, 2, 2, 1)",5,Indicator,Volatility Indicators
BOP ,TALIB(BOP),Balance Of Power,TALIB(BOP),1,Indicator,
CCI ,"TALIB(CCI, PERIOD)",Commodity Channel Index,"TALIB(CCI, 14)",5,Indicator,
CDL2CROWS ,TALIB(CDL2CROWS),Two Crows,TALIB(CDL2CROWS),5,Candlestick,
CDL3BLACKCROWS ,TALIB(CDL3BLACKCROWS),Three Black Crows,TALIB(CDL3BLACKCROWS),5,Candlestick,
CDL3INSIDE ,TALIB(CDL3INSIDE),Three Inside Up/Down,TALIB(CDL3INSIDE),4,Candlestick,
CDL3LINESTRIKE ,TALIB(CDL3LINESTRIKE),Three-Line Strike,TALIB(CDL3LINESTRIKE),3,Candlestick,
CDL3OUTSIDE ,TALIB(CDL3OUTSIDE),Three Outside Up/Down,TALIB(CDL3OUTSIDE),3,Candlestick,
CDL3STARSINSOUTH ,TALIB(CDL3STARSINSOUTH),Three Stars In The South,TALIB(CDL3STARSINSOUTH),3,Candlestick,
CDL3WHITESOLDIERS ,TALIB(CDL3WHITESOLDIERS),Three Advancing White Soldiers,TALIB(CDL3WHITESOLDIERS),5,Candlestick,
CDLABANDONEDBABY ,"TALIB(CDLABANDONEDBABY, PENETRATION)",Abandoned Baby PENETRATION is the percentage of penetration of a candle within another candle,"TALIB(CDLABANDONEDBABY, 0.3)",3,Candlestick,
CDLADVANCEBLOCK ,TALIB(CDLADVANCEBLOCK),Advance Block,TALIB(CDLADVANCEBLOCK),3,Candlestick,
CDLBELTHOLD ,TALIB(CDLBELTHOLD),Belt Hold,TALIB(CDLBELTHOLD),3,Candlestick,
CDLBREAKAWAY ,TALIB(CDLBREAKAWAY),Breakaway,TALIB(CDLBREAKAWAY),4,Candlestick,
CDLCLOSINGMARUBOZU ,TALIB(CDLCLOSINGMARUBOZU),Closing Marubozu,TALIB(CDLCLOSINGMARUBOZU),3,Candlestick,
CDLCONCEALBABYSWALL ,TALIB(CDLCONCEALBABYSWALL),Concealing Baby Swallow,TALIB(CDLCONCEALBABYSWALL),3,Candlestick,
